
zip_code,count
94107,106913
94105,61232
94133,46544
94103,38072
94111,33642
94102,30222
94109,19043
95112,15420
nil,15385
94158,13673
94611,13198
94117,12549
94403,10934
94602,10926
94610,10628
94110,10446
94040,10276
94501,10179
94114,9544
94025,9452
94010,9251
94108,9064
95110,8688
94070,8397
94041,7716
94608,7670
94404,7268
94087,7014
95113,6950
94402,6941
94002,6808
,6803
94306,6709
94301,6493
94401,6473
94122,6295
94303,6145
94062,5749
94115,5748
94609,5698
94118,5563
94112,5352
94086,5248
94061,5246
94131,5073
94903,5019
94618,4922
95014,4887
94043,4868
94612,4543
94030,4484
94941,4451
95126,4318
94104,4278
94549,3938
95051,3930
94703,3870
94901,3721
94705,3720
94063,3667
94960,3617
94065,3560
94121,3544
94702,3458
94066,3211
94116,3091
94123,2908
94706,2788
94920,2612
95129,2570
94606,2533
94024,2486
94707,2420
94904,2405
94530,2347
94124,2306
94925,2295
94597,2272
94044,2264
94607,2260
94590,2254
94708,2244
94588,2215
94558,2203
94132,2198
94704,2189
94022,2181
94127,2166
94710,2166
94510,2068
94939,2044
95130,2029
95008,2003
95050,1965
94080,1909
94085,1841
95054,1836
94965,1726
95125,1697
94568,1663
