
zip_code,count
41301,1
37210,1
21208,1
19732,1
59804,1
85200,1
45336,1
44138,1
34712,1
64123,1
93206,1
77096,1
19078,1
41311,1
9160,1
5616,1
32703,1
32730,1
36619,1
93271,1
45014,1
54403,1
77391,1
89431,1
78754,1
1430014,1
20785,1
1310031,1
3909,1
30117,1
38270,1
22947,1
676,1
4509,1
37214,1
4135,1
6221,1
98124,1
66109,1
77021,1
7840,1
87,1
91560,1
23294,1
13090,1
89119,1
1847,1
24937,1
79106,1
20619,1
9105,1
38834,1
28092,1
1470,1
68130,1
95352,1
1908,1
33510,1
9051,1
45305,1
504,1
45822,1
63051,1
33017,1
2390822,1
62221,1
90125,1
41501,1
95763,1
64108,1
59825,1
27703,1
64701,1
41006,1
7738,1
95504,1
77340,1
17267,1
11436,1
92300,1
10805,1
73770,1
21147,1
90535,1
8330,1
98942,1
99577,1
77045,1
33637,1
41468,1
99,1
28600,1
80004,1
18976,1
829,1
39571,1
8401,1
21000,1
23602,1
45869,1
